"GEOID","king_county","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53011040507,FALSE,4,NA,0.1152671724558,0.1473684161901,0.3033826649189,0.188672751188267,4,NA,3,NA,2,NA,4,NA,3,NA,3,NA,2,NA
53011040509,FALSE,3,NA,0.1816276609898,0.1482939720154,0.3595871925354,0.2298362751802,3,NA,2,NA,3,NA,4,NA,4,NA,4,NA,3,NA
53011040510,FALSE,1,NA,0.3895665705204,0.4823151230812,0.3941809535027,0.4220208823681,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA
53011040511,FALSE,1,NA,0.4749841690063,0.4876543283463,0.4782608747482,0.480299790700267,1,NA,1,NA,2,NA,2,NA,1,NA,4,NA,1,NA
53011040512,FALSE,1,NA,0.3710223436356,0.3568000197411,0.4437811076641,0.390534490346933,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,4,NA
53011040513,FALSE,1,NA,0.3049001693726,0.3877729177475,0.4323100149632,0.3749943673611,2,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1,NA
53011040603,FALSE,1,NA,0.301628857851,0.5080956220627,0.4688661694527,0.426196883122133,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA
53011040604,FALSE,2,NA,0.2883031368256,0.2944297194481,0.395357131958,0.326029996077233,2,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2,NA
53011040605,FALSE,2,NA,0.3639635443687,0.4996767938137,0.4670881330967,0.443576157093033,2,NA,1,NA,3,NA,2,NA,2,NA,4,NA,3,NA
53011040608,FALSE,2,NA,0.6507353186607,0.5692541599274,0.6772592067719,0.632416228453333,1,NA,1,NA,2,NA,1,NA,1,NA,3,NA,1,NA
53011040609,FALSE,1,NA,0.6100535392761,0.6934210658073,0.568642437458,0.624039014180467,1,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1,NA
53011040610,FALSE,1,NA,0.6429512500763,0.6638023853302,0.6116780042648,0.639477213223767,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA
53011040703,FALSE,2,NA,0.1472780704498,0.1829608976841,0.2737642526627,0.2013344069322,4,NA,3,NA,2,NA,2,NA,2,NA,4,NA,1,NA
53011040706,FALSE,4,NA,0.1223849356174,0.075581394136,0.1132174804807,0.1037279367447,4,NA,4,NA,3,NA,4,NA,3,NA,3,NA,3,NA
53011040707,FALSE,3,NA,0.1596870720387,0.2744360864162,0.2635281383991,0.232550432284667,3,NA,2,NA,2,NA,4,NA,3,NA,3,NA,3,NA
53011040709,FALSE,2,NA,0.3457550108433,0.3111999928951,0.4032403230667,0.353398442268367,2,NA,2,NA,2,NA,3,NA,2,NA,2,NA,2,NA
53011040711,FALSE,3,NA,0.1714134961367,0.2206896543503,0.3821958601475,0.2580996702115,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA
53011040712,FALSE,3,NA,0.2027027010918,0.2856272757053,0.309945076704,0.266091684500367,3,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2,NA
53011040713,FALSE,1,NA,0.453478962183,0.4943820238113,0.5513227581978,0.4997279147307,1,NA,1,NA,1,NA,2,NA,1,NA,4,NA,1,NA
53011040714,FALSE,4,NA,0.3213457167149,0.2098009288311,0.3882292211056,0.3064586222172,3,NA,4,NA,4,NA,3,NA,2,NA,4,NA,2,NA
53011040715,FALSE,1,NA,0.3205282092094,0.2992126047611,0.4458598792553,0.355200231075267,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA
53011040803,FALSE,3,NA,0.3636363744736,0.3330638706684,0.3778609931469,0.358187079429633,2,NA,3,NA,2,NA,3,NA,2,NA,3,NA,3,NA
53011040806,FALSE,2,NA,0.2688259184361,0.3820621371269,0.3250931203365,0.325327058633167,3,NA,3,NA,1,NA,1,NA,2,NA,2,NA,1,NA
53011040808,FALSE,2,NA,0.164076000452,0.2483516484499,0.2191630005836,0.210530216495167,4,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA
53011040809,FALSE,3,NA,0.3320341110229,0.2304526716471,0.3983364105225,0.320274397730833,3,NA,3,NA,3,NA,2,NA,3,NA,3,NA,2,NA
53011040810,FALSE,3,NA,0.2843100130558,0.4683684706688,0.2273875623941,0.326688682039567,2,NA,3,NA,3,NA,2,NA,2,NA,4,NA,2,NA
53011040811,FALSE,1,NA,0.3926530480385,0.4320987462997,0.4605077505112,0.428419848283133,2,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1,NA
53011040812,FALSE,1,NA,0.2853535413742,0.3946146667004,0.3892554342747,0.3564078807831,2,NA,1,NA,2,NA,1,NA,2,NA,2,NA,2,NA
53011040904,FALSE,3,NA,0.3254964649677,0.1829710155725,0.3739406764507,0.2941360523303,3,NA,4,NA,3,NA,3,NA,3,NA,3,NA,3,NA
53011040905,FALSE,2,NA,0.3827004134655,0.441115707159,0.3532338440418,0.3923499882221,2,NA,1,NA,2,NA,2,NA,3,NA,1,NA,1,NA
53011040907,FALSE,1,NA,0.6164574623108,0.6069103479385,0.608274102211,0.610547304153433,1,NA,1,NA,1,NA,1,NA,1,NA,4,NA,1,NA
53011040908,FALSE,1,NA,0.4942483007908,0.5016181468964,0.6002777814865,0.532048076391233,1,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1,NA
53011040909,FALSE,1,NA,0.3791904747486,0.4332892894745,0.4684873819351,0.4269890487194,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA
53011040910,FALSE,2,NA,0.3719658255577,0.3628966510296,0.424063116312,0.386308530966433,2,NA,1,NA,2,NA,1,NA,2,NA,1,NA,3,NA
53011041003,FALSE,2,NA,0.3314483165741,0.2509505748749,0.3751978874207,0.3191989262899,3,NA,2,NA,2,NA,2,NA,3,NA,3,NA,3,NA
53011041005,FALSE,4,NA,0.1209335252643,0.0338345840573,0.1789375543594,0.111235221227,4,NA,4,NA,3,NA,4,NA,4,NA,1,NA,3,NA
53011041007,FALSE,3,NA,0.3007843196392,0.1179940998554,0.3943139612675,0.271030793587367,3,NA,2,NA,3,NA,3,NA,3,NA,4,NA,1,NA
53011041008,FALSE,1,NA,0.4373214840889,0.4184823334217,0.4740740656853,0.443292627731967,2,NA,1,NA,2,NA,1,NA,2,NA,3,NA,1,NA
53011041009,FALSE,4,NA,0.2534798681736,0.2327497452497,0.3840345144272,0.290088042616833,3,NA,3,NA,3,NA,3,NA,4,NA,3,NA,4,NA
53011041010,FALSE,4,NA,0.1954187601805,0.114537447691,0.273353010416,0.194436406095833,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA
53011041011,FALSE,3,NA,0.3019480407238,0.1283237040043,0.2675565779209,0.232609440883,3,NA,2,NA,3,NA,2,NA,3,NA,4,NA,2,NA
53011041104,FALSE,4,NA,0.1612062603235,0.1734913885593,0.2323904633522,0.189029370745,4,NA,3,NA,3,NA,4,NA,3,NA,4,NA,4,NA
53011041105,FALSE,2,NA,0.2066554129124,0.1977806687355,0.2764397859573,0.226958622535067,4,NA,2,NA,2,NA,2,NA,2,NA,4,NA,2,NA
53011041107,FALSE,2,NA,0.2317016273737,0.4179310202599,0.2845161259174,0.311382924517,3,NA,2,NA,2,NA,2,NA,3,NA,3,NA,2,NA
53011041110,FALSE,3,NA,0.2929947972298,0.41893902421,0.4199103415012,0.377281387647,2,NA,2,NA,3,NA,3,NA,2,NA,3,NA,2,NA
53011041111,FALSE,4,NA,0.123012162745,0.0120336944237,0.1689922511578,0.101346036108833,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,1,NA
53011041112,FALSE,4,NA,0.2553818225861,0.1422413736582,0.2920719087124,0.2298983683189,3,NA,3,NA,3,NA,2,NA,3,NA,4,NA,3,NA
