"GEOID","king_county","RPL_THEMES","RPL_THEMES_USA","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","AFFLUENCE16_20","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53045960402,FALSE,0.4751,0.3966,2,NA,0.2776969969273,0.2338108867407,0.2772277295589,0.3220523893833,0.2776970018943,3,NA,27.313769751693,2,NA,1.93602693602694,1,NA,12.9208754208754,2,NA,33258,3,NA,10.8081791626095,4,NA,5.4176072234763,3,NA
53045960403,FALSE,0.1991,0.1722,1,NA,0.2952431738377,0.1674418598413,0.2157894819975,0.5024982094765,0.295243183771767,3,NA,25.9259259259259,2,NA,13.0311614730878,1,NA,13.8456090651558,2,NA,27473,4,NA,6.16208975217683,3,NA,0,1,NA
53045960500,FALSE,0.293,0.2645,2,NA,0.2655780017376,0.2632504403591,0.1903765648603,0.3431069850922,0.265577996770533,3,NA,17.18322698268,1,NA,15.0181585131382,1,NA,20.1025421918394,3,NA,38052,2,NA,1.66919575113809,1,NA,1.82315405651778,2,NA
53045960600,FALSE,0.8083,0.7186,4,NA,0.2477251887321,0.2028236985207,0.2568627595901,0.2834891080856,0.247725188732133,3,NA,18.3890577507599,1,NA,33.189262966333,3,NA,18.1983621474067,3,NA,33466,3,NA,6.14035087719298,3,NA,2.20364741641337,2,NA
53045960700,FALSE,0.9038,0.8571,4,NA,0.1579371094704,0.1032308936119,0.0785907879472,0.2919896543026,0.1579371119539,4,NA,37.1859296482412,3,NA,35.5788423153693,3,NA,36.2867098058736,4,NA,24336,4,NA,7.85714285714286,4,NA,7.20268006700168,3,NA
53045960800,FALSE,0.9977,0.9979,4,NA,0.1820432543755,0.1367453038692,0.1426718533039,0.2667126059532,0.182043254375433,4,NA,46.742209631728,4,NA,56.7365699511635,4,NA,46.5730337078652,4,NA,22404,4,NA,10.3213844252163,4,NA,16.2889518413598,4,NA
53045960900,FALSE,0.8546,0.8182,4,NA,0.1256608068943,0.1031613945961,0.0324074067175,0.2414136379957,0.1256608131031,4,NA,36.4799025578563,3,NA,40.8726075324141,3,NA,33.6490939044481,4,NA,27191,4,NA,3.41346153846154,2,NA,11.63215590743,4,NA
53045961000,FALSE,0.5311,0.4907,3,NA,0.3141308426857,0.2430441826582,0.2861586213112,0.4131897687912,0.314130857586867,3,NA,24.5154531168151,1,NA,20.1513718070009,2,NA,24.7903963414634,4,NA,26468,4,NA,2.19394471259324,1,NA,4.66212676794133,3,NA
53045961101,FALSE,0.2964,0.2914,2,NA,0.2803388535976,0.3794848322868,0.1589486896992,0.3025830388069,0.280338853597633,3,NA,35.5731225296443,3,NA,25.6627783669141,2,NA,17.2365174480085,3,NA,33636,3,NA,0,1,NA,1.81818181818182,2,NA
53045961102,FALSE,0.4463,0.3926,2,NA,0.1969511508942,0.1222929954529,0.086729362607,0.3818310797215,0.196951145927133,4,NA,28.3757338551859,2,NA,11.9490445859873,1,NA,17.7324840764331,3,NA,27694,4,NA,4.53929539295393,3,NA,0,1,NA
