"GEOID","king_county"
"53029971100",FALSE
"53029971301",FALSE
"53029971302",FALSE
"53029971400",FALSE
"53029971500",FALSE
"53029971600",FALSE
"53029971700",FALSE
"53029971800",FALSE
"53029971900",FALSE
"53029972000",FALSE
"53029972100",FALSE
"53029992201",FALSE
"53031950202",FALSE
"53031950301",FALSE
"53031950302",FALSE
"53031950400",FALSE
"53031950501",FALSE
"53031950502",FALSE
"53031950602",FALSE
"53031950603",FALSE
"53031950604",FALSE
"53031950702",FALSE
"53031990000",FALSE
"53033000101",TRUE
"53033000102",TRUE
"53033000201",TRUE
"53033000202",TRUE
"53033000300",TRUE
"53033000402",TRUE
"53033000403",TRUE
"53033000404",TRUE
"53033000500",TRUE
"53033000601",TRUE
"53033000602",TRUE
"53033000700",TRUE
"53033000800",TRUE
"53033000900",TRUE
"53033001000",TRUE
"53033001100",TRUE
"53033001201",TRUE
"53033001202",TRUE
"53033001300",TRUE
"53033001400",TRUE
"53033001500",TRUE
"53033001600",TRUE
"53033001701",TRUE
"53033001702",TRUE
"53033001800",TRUE
"53033001900",TRUE
"53033002000",TRUE
"53033002100",TRUE
"53033002200",TRUE
"53033002400",TRUE
"53033002500",TRUE
"53033002600",TRUE
"53033002700",TRUE
"53033002800",TRUE
"53033002900",TRUE
"53033003000",TRUE
"53033003100",TRUE
"53033003201",TRUE
"53033003202",TRUE
"53033003301",TRUE
"53033003302",TRUE
"53033003400",TRUE
"53033003500",TRUE
"53033003601",TRUE
"53033003602",TRUE
"53033003800",TRUE
"53033003900",TRUE
"53033004000",TRUE
"53033004101",TRUE
"53033004102",TRUE
"53033004201",TRUE
"53033004202",TRUE
"53033004301",TRUE
"53033004302",TRUE
"53033004401",TRUE
"53033004402",TRUE
"53033004500",TRUE
"53033004600",TRUE
"53033004701",TRUE
"53033004702",TRUE
"53033004703",TRUE
"53033004800",TRUE
"53033004901",TRUE
"53033004902",TRUE
"53033005000",TRUE
"53033005100",TRUE
"53033005201",TRUE
"53033005202",TRUE
"53033005303",TRUE
"53033005304",TRUE
"53033005305",TRUE
"53033005306",TRUE
"53033005307",TRUE
"53033005401",TRUE
"53033005402",TRUE
"53033005600",TRUE
"53033005700",TRUE
"53033005801",TRUE
"53033005803",TRUE
"53033005804",TRUE
"53033005901",TRUE
"53033005902",TRUE
"53033006000",TRUE
"53033006100",TRUE
"53033006200",TRUE
"53033006300",TRUE
"53033006400",TRUE
"53033006500",TRUE
"53033006600",TRUE
"53033006701",TRUE
"53033006702",TRUE
"53033006703",TRUE
